Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
4,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
4,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
4,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
5,207,6970,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
5,207,6970,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
5,209,7088,M->E->G->J->V->W->X->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
5,211,6950,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,ZgZg
5,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
5,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
5,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
5,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
5,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
5,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
6,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
6,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
6,207,7054,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
6,211,6950,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,ZgZg
6,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
6,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
6,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
6,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
6,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
6,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
7,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
7,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
7,199,6292,M->E->G->J->V->Q->W->L->X->S->A->D->I->P->O->Z->B->F->R->H->U->N->C->K->Y->T,ZgZg
7,207,6506,M->E->G->J->V->W->L->X->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
7,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
7,207,6902,M->E->G->Q->J->V->W->L->X->S->D->I->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,H2V
7,207,6902,M->E->G->Q->J->V->W->L->X->S->D->I->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,H2V
7,203,6554,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->I->Z->B->F->R->H->U->N->C->K->Y->T,V2H
7,203,6554,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->I->Z->B->F->R->H->U->N->C->K->Y->T,V2H
7,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
8,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
8,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
8,199,6292,M->E->G->J->V->Q->W->L->X->S->A->D->I->P->O->Z->B->F->R->H->U->N->C->K->Y->T,ZgZg
8,207,6506,M->E->G->J->V->W->L->X->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
8,207,6812,M->E->G->J->V->W->L->X->Q->S->I->D->P->O->Z->B->A->F->R->H->U->N->C->K->Y->T,ZgZg
8,207,6902,M->E->G->Q->J->V->W->L->X->S->D->I->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,H2V
8,207,6902,M->E->G->Q->J->V->W->L->X->S->D->I->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,H2V
8,203,6554,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->I->Z->B->F->R->H->U->N->C->K->Y->T,V2H
8,203,6554,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->I->Z->B->F->R->H->U->N->C->K->Y->T,V2H
8,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
9,207,6568,M->E->G->J->V->X->W->L->Q->S->I->D->P->O->Z->B->F->A->R->H->U->N->C->K->Y->T,V2H
9,195,6220,M->E->G->J->V->Q->W->L->X->S->A->D->P->O->I->Z->B->F->R->H->U->N->C->K->Y->T,ZgZg
9,199,6292,M->E->G->J->V->Q->W->L->X->S->A->D->I->P->O->Z->B->F->R->H->U->N->C->K->Y->T,ZgZg
9,205,6312,F->E->G->J->V->W->L->X->Q->S->I->D->P->O->Z->B->M->A->R->H->U->N->C->K->Y->T,V2H
9,203,6774,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->I->Z->B->F->R->H->U->N->C->K->Y->T,ZgZg
9,199,6690,M->E->G->J->V->Q->W->L->X->S->D->I->P->O->Z->B->A->F->R->H->U->N->C->K->Y->T,ZgZg
9,199,6690,M->E->G->J->V->Q->W->L->X->S->D->I->P->O->Z->B->A->F->R->H->U->N->C->K->Y->T,ZgZg
9,207,6394,M->E->G->J->V->X->W->L->Q->S->Z->D->P->O->I->A->B->F->R->H->U->N->C->K->Y->T,V2H
9,207,6394,M->E->G->J->V->X->W->L->Q->S->Z->D->P->O->I->A->B->F->R->H->U->N->C->K->Y->T,V2H
9,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
