Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,185,6634,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,ZgZg
0,191,6840,Z->V->R->M->X->I->K->L->H->D->O->Y->W->Q->P->T->C->F->A->B->N->G->J->E->S->U,V2H
1,185,6634,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,ZgZg
1,185,6634,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,ZgZg
2,185,6634,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,ZgZg
2,185,6634,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,ZgZg
3,185,6514,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,H2V
3,185,6634,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,ZgZg
4,181,6014,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->T->W->Q->P->B->F->A->N->G->J->E,H2V
4,185,6514,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->B->W->Q->P->T->F->A->N->G->J->E,H2V
5,181,6014,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->T->W->Q->P->B->F->A->N->G->J->E,H2V
5,181,6014,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->T->W->Q->P->B->F->A->N->G->J->E,H2V
6,181,6014,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->T->W->Q->P->B->F->A->N->G->J->E,H2V
6,181,6014,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->T->W->Q->P->B->F->A->N->G->J->E,H2V
7,177,5534,Z->V->R->M->X->I->L->H->D->Y->C->K->O->U->S->T->W->Q->P->B->F->A->N->G->J->E,H2V
7,181,6014,Z->V->R->M->X->I->L->H->D->S->C->K->O->U->Y->T->W->Q->P->B->F->A->N->G->J->E,H2V
8,177,5534,Z->V->R->M->X->I->L->H->D->Y->C->K->O->U->S->T->W->Q->P->B->F->A->N->G->J->E,H2V
8,177,5534,Z->V->R->M->X->I->L->H->D->Y->C->K->O->U->S->T->W->Q->P->B->F->A->N->G->J->E,H2V
9,177,5534,Z->V->R->M->X->I->L->H->D->Y->C->K->O->U->S->T->W->Q->P->B->F->A->N->G->J->E,H2V
9,177,5534,Z->V->R->M->X->I->L->H->D->Y->C->K->O->U->S->T->W->Q->P->B->F->A->N->G->J->E,H2V
