Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,203,6610,P->X->C->V->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->R,V2H
0,201,8342,U->F->O->J->M->R->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->H->Z->K->C,V2H
0,189,8158,J->G->T->H->Z->O->X->N->F->U->A->C->R->M->V->D->S->W->P->E->Q->B->K->I->Y->L,ZgZg
0,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
0,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
0,219,8796,O->B->A->G->X->M->L->U->D->S->W->Z->N->H->P->Q->Y->I->J->E->R->V->K->T->F->C,H2V
0,213,9352,L->C->G->X->K->P->R->J->S->W->Y->Q->T->N->M->I->Z->V->H->U->F->E->O->A->B->D,V2H
0,205,8384,V->C->P->R->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->X,ZgZg
0,205,8384,V->C->P->R->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->X,ZgZg
0,221,9208,J->F->G->T->H->Z->O->X->U->E->N->A->C->R->M->V->D->S->W->P->Q->B->K->I->Y->L,ZgZg
1,203,6610,P->X->C->V->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->R,V2H
1,179,7050,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,V2H
1,179,7050,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,V2H
1,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
1,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
1,201,7338,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->N->D->P->G->R->K->F->C,V2H
1,201,7338,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->N->D->P->G->R->K->F->C,V2H
1,181,8032,M->U->H->A->S->X->T->Q->Y->B->I->V->L->W->G->D->Z->J->O->E->F->P->N->R->K->C,V2H
1,181,8032,M->U->H->A->S->X->T->Q->Y->B->I->V->L->W->G->D->Z->J->O->E->F->P->N->R->K->C,V2H
1,213,7564,P->X->C->V->Y->G->D->W->S->A->Q->T->M->I->J->O->E->F->B->K->U->N->H->Z->L->R,V2H
2,203,6610,P->X->C->V->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->R,V2H
2,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
2,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
2,209,7180,P->X->C->V->Y->G->D->W->S->A->Q->T->M->I->U->N->K->J->O->E->F->B->H->Z->L->R,V2H
2,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
2,197,6928,H->A->S->X->Y->V->W->Q->T->N->M->I->G->D->P->C->Z->J->O->E->F->B->K->U->L->R,V2H
2,197,6928,H->A->S->X->Y->V->W->Q->T->N->M->I->G->D->P->C->Z->J->O->E->F->B->K->U->L->R,V2H
2,181,6946,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->G->D->P->O->R->K->F->C,V2H
2,181,6946,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->G->D->P->O->R->K->F->C,V2H
2,213,7564,P->X->C->V->Y->G->D->W->S->A->Q->T->M->I->J->O->E->F->B->K->U->N->H->Z->L->R,V2H
3,203,6610,P->X->C->V->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->R,V2H
3,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
3,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
3,179,7050,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,V2H
3,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
3,197,6928,H->A->S->X->Y->V->W->Q->T->N->M->I->G->D->P->C->Z->J->O->E->F->B->K->U->L->R,V2H
3,197,6928,H->A->S->X->Y->V->W->Q->T->N->M->I->G->D->P->C->Z->J->O->E->F->B->K->U->L->R,V2H
3,181,6946,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->G->D->P->O->R->K->F->C,V2H
3,181,6946,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->G->D->P->O->R->K->F->C,V2H
3,213,7564,P->X->C->V->Y->G->D->W->S->A->Q->T->M->I->J->O->E->F->B->K->U->N->H->Z->L->R,V2H
4,203,6610,P->X->C->V->Y->G->D->H->W->S->A->Q->T->N->M->I->Z->J->O->E->F->B->K->U->L->R,V2H
4,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
4,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
4,199,6976,H->A->E->X->Y->V->W->Q->T->N->M->I->G->D->P->C->Z->J->O->S->F->B->K->U->L->R,V2H
4,199,7252,O->M->U->Z->H->J->A->S->X->E->T->Q->Y->B->I->V->L->W->G->D->P->N->R->K->F->C,V2H
4,181,6568,U->X->E->Y->B->V->D->H->W->S->A->Q->T->N->L->M->I->Z->J->O->G->P->R->K->F->C,H2V
4,181,6568,U->X->E->Y->B->V->D->H->W->S->A->Q->T->N->L->M->I->Z->J->O->G->P->R->K->F->C,H2V
4,197,6912,H->A->S->X->Y->V->W->Q->T->N->M->I->G->D->P->C->Z->J->O->E->F->B->U->L->R->K,V2H
4,195,7286,H->A->S->X->Y->V->W->Q->T->N->M->I->D->P->C->Z->J->O->E->G->F->B->K->U->L->R,H2V
4,195,7286,H->A->S->X->Y->V->W->Q->T->N->M->I->D->P->C->Z->J->O->E->G->F->B->K->U->L->R,H2V
5,181,6226,H->U->S->X->E->Y->B->V->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->A->L->C,H2V
5,179,6400,U->H->A->S->X->E->Y->B->V->L->W->Q->T->N->M->I->Z->J->O->G->D->P->R->K->F->C,H2V
