Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
0,211,8880,B->N->H->Z->L->E->Q->Y->F->G->V->C->S->O->W->T->P->K->X->J->A->U->I->D->R->M,ZgZg
0,215,8178,O->B->V->N->Z->S->L->E->Q->A->W->F->Y->D->K->H->R->J->P->I->X->U->G->M->C->T,H2V
0,245,8548,O->B->V->P->N->H->Z->X->S->L->E->R->Q->A->W->F->U->Y->D->K->I->G->M->C->T->J,H2V
0,215,9794,Q->J->S->N->Z->H->K->M->F->T->G->E->U->D->I->X->B->P->W->R->O->Y->V->A->C->L,ZgZg
0,229,9560,R->W->Z->J->P->X->E->I->M->D->U->O->B->H->A->N->T->F->V->K->S->Y->Q->G->L->C,ZgZg
0,257,8768,Z->A->B->T->V->E->N->F->S->W->G->M->D->K->Y->H->R->J->P->I->X->U->L->C->O->Q,H2V
0,257,8768,Z->A->B->T->V->E->N->F->S->W->G->M->D->K->Y->H->R->J->P->I->X->U->L->C->O->Q,H2V
0,229,9560,R->W->Z->J->P->X->E->I->M->D->U->O->B->H->A->N->T->F->V->K->S->Y->Q->G->L->C,ZgZg
0,245,11728,O->B->V->P->N->H->Z->X->S->L->E->R->Q->A->W->F->U->Y->D->K->I->G->M->C->T->J,ZgZg
1,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
1,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
1,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
1,215,8178,O->B->V->N->Z->S->L->E->Q->A->W->F->Y->D->K->H->R->J->P->I->X->U->G->M->C->T,H2V
1,211,8880,B->N->H->Z->L->E->Q->Y->F->G->V->C->S->O->W->T->P->K->X->J->A->U->I->D->R->M,ZgZg
1,203,8260,H->B->V->N->O->Z->S->L->K->G->E->R->Q->A->W->F->U->Y->D->P->I->X->M->C->T->J,H2V
1,215,8178,O->B->V->N->Z->S->L->E->Q->A->W->F->Y->D->K->H->R->J->P->I->X->U->G->M->C->T,H2V
1,255,8656,Z->A->B->T->V->E->N->F->S->W->G->M->Y->H->R->D->K->J->P->I->X->U->L->C->O->Q,H2V
1,215,8178,O->B->V->N->Z->S->L->E->Q->A->W->F->Y->D->K->H->R->J->P->I->X->U->G->M->C->T,H2V
1,241,8466,Z->A->B->V->E->N->F->S->W->G->M->D->K->Y->H->R->J->P->I->X->U->L->O->C->T->Q,H2V
2,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
2,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
2,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
2,211,7328,H->B->V->N->O->Z->S->L->E->R->Q->X->W->F->Y->D->K->G->P->I->A->U->M->C->T->J,H2V
2,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
2,245,9144,O->B->V->N->Z->H->S->L->E->R->Q->A->W->F->Y->D->K->J->P->I->X->U->G->M->C->T,H2V
2,221,8480,H->B->V->N->O->Z->S->L->E->R->Q->I->W->F->Y->D->K->G->P->A->X->U->M->C->T->J,H2V
2,245,9144,O->B->V->N->Z->H->S->L->E->R->Q->A->W->F->Y->D->K->J->P->I->X->U->G->M->C->T,H2V
2,215,8818,O->B->V->N->Z->S->L->E->Q->A->W->F->Y->D->K->H->R->J->P->I->X->U->G->M->C->T,V2H
2,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
3,185,6724,H->B->V->N->O->Z->S->L->E->D->Q->A->W->F->Y->R->K->G->P->I->X->U->M->C->T->J,H2V
3,203,7334,H->B->V->N->O->Z->S->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
3,195,6886,H->B->V->K->O->Z->S->L->E->R->Q->A->W->F->Y->D->N->G->P->I->X->U->M->C->T->J,H2V
3,211,7328,H->B->V->N->O->Z->S->L->E->R->Q->X->W->F->Y->D->K->G->P->I->A->U->M->C->T->J,H2V
3,199,7062,H->B->V->S->O->Z->N->L->E->R->Q->A->W->F->Y->D->K->G->P->I->X->U->M->C->T->J,H2V
