Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
4,191,6676,B->O->G->F->H->Y->X->P->J->W->T->D->M->E->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
4,187,6388,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
4,187,6388,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
5,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
5,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
5,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
5,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
5,199,6804,B->O->G->F->S->D->H->Y->X->P->J->W->T->E->M->A->L->R->I->U->Q->K->N->Z->V->C,V2H
5,187,6598,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,H2V
5,187,6598,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,H2V
5,191,6676,B->O->G->F->H->Y->X->P->J->W->T->D->M->E->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
5,187,6388,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
5,187,6388,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
6,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
6,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
6,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
6,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
6,183,6284,B->O->G->F->H->Y->P->J->D->S->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
6,187,6598,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,H2V
6,187,6598,B->O->G->F->H->Y->X->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->N->Z->V->C->S,H2V
6,193,6548,B->O->G->F->H->Y->N->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->X->Z->V->C->S,V2H
6,185,7540,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,ZgZg
6,185,7540,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,ZgZg
7,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
7,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
7,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
7,187,6394,B->O->G->F->H->Y->P->X->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
7,183,6284,B->O->G->F->H->Y->P->J->D->S->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
7,195,6282,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->J,V2H
7,195,6282,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->J,V2H
7,193,6548,B->O->G->F->H->Y->N->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->X->Z->V->C->S,V2H
7,183,7274,B->O->G->F->H->Y->P->J->D->S->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,ZgZg
7,185,7540,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,ZgZg
8,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
8,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
8,183,6256,B->O->G->F->H->Y->P->S->W->T->D->J->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
8,183,6256,B->O->G->F->H->Y->P->S->W->T->D->J->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
8,183,6284,B->O->G->F->H->Y->P->J->D->S->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
8,195,6282,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->J,V2H
8,195,6282,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->J,V2H
8,193,6548,B->O->G->F->H->Y->N->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->X->Z->V->C->S,V2H
8,197,7016,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->J->Q->K->N->Z->V->C,V2H
8,185,7540,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,ZgZg
9,185,6530,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
9,179,6140,B->O->G->F->H->Y->P->S->T->W->D->J->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
9,183,6256,B->O->G->F->H->Y->P->S->W->T->D->J->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
9,183,6256,B->O->G->F->H->Y->P->S->W->T->D->J->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
9,183,6284,B->O->G->F->H->Y->P->J->D->S->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
9,195,6282,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->J,V2H
9,195,6282,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->J,V2H
9,193,6548,B->O->G->F->H->Y->N->P->J->T->D->M->W->E->A->L->R->I->U->Q->K->X->Z->V->C->S,V2H
9,197,7016,B->O->G->F->H->Y->X->P->S->W->T->D->E->M->A->L->R->I->U->J->Q->K->N->Z->V->C,V2H
9,185,7540,B->O->G->F->H->Y->P->J->D->M->S->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,ZgZg
