Generation,Individual,WalkingTime,ExposureTime
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,197,7444,X->L->P->U->K->M->Y->W->H->F->T->N->G->Q->A->B->O->E->S->J->D->R->C->Z->V->I,H2V
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,215,6650,O->E->G->H->J->U->Q->D->T->F->W->L->K->B->I->A->M->Y->V->R->S->Z->X->C->N->P,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,185,7072,R->L->H->T->N->V->I->D->S->K->F->E->O->Z->B->A->M->Y->Q->G->X->W->U->C->J->P,H2V
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,199,7202,A->V->C->F->E->X->D->B->L->P->T->N->R->M->U->Q->I->S->O->W->Y->H->K->Z->G->J,ZgZg
0,175,7208,I->R->V->K->N->H->A->Q->T->Z->D->F->G->X->O->J->P->U->E->M->Y->C->B->L->S->W,H2V
0,175,7208,I->R->V->K->N->H->A->Q->T->Z->D->F->G->X->O->J->P->U->E->M->Y->C->B->L->S->W,H2V
0,175,7208,I->R->V->K->N->H->A->Q->T->Z->D->F->G->X->O->J->P->U->E->M->Y->C->B->L->S->W,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,183,6758,M->J->B->K->I->D->Z->R->U->E->H->W->A->Y->L->C->T->Q->F->G->S->P->O->X->N->V,H2V
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,197,7296,X->C->K->Y->V->O->Z->F->M->E->H->N->T->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,201,7114,U->G->W->M->F->K->T->Y->O->I->V->N->J->E->A->P->D->Z->Q->R->B->H->C->L->X->S,H2V
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,207,7528,X->C->Y->V->O->Z->F->M->H->N->T->E->K->Q->P->G->S->W->J->B->L->U->I->R->D->A,V2H
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,175,6554,X->P->J->D->W->E->Y->Q->T->F->M->R->K->U->O->I->Z->B->G->H->A->L->V->N->C->S,V2H
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,201,7352,S->C->B->F->U->R->G->A->D->T->M->H->K->W->Q->O->X->V->N->J->P->I->Z->L->Y->E,ZgZg
0,215,6896,N->T->L->W->I->A->H->F->U->G->D->P->E->Z->Q->O->J->X->K->Y->C->R->B->V->M->S,V2H
